组别,组内排名,全局排名,角色,头像,IP,CV,得票数,状态
男子1组,1,2,鲁迪乌斯·格雷拉特,,无职转生,内山夕实,1766,晋级
男子1组,2,3,石上优,,辉夜大小姐想让我告白～天才们的恋爱头脑战～,铃木崚汰,1658,未晋级
男子1组,3,18,乙骨忧太,,咒术回战,绪方惠美,1314,未晋级
男子1组,4,37,伊藤诚,,School Days,平川大辅,984,未晋级
男子1组,5,38,天马司,,世界计划 缤纷舞台！ feat. 初音未来,,973,未晋级
男子1组,6,55,枣恭介,,Little Busters!,绿川光,750,未晋级
男子1组,7,56,依田绚斗,,薰香花朵凛然绽放,,733,未晋级
男子1组,8,59,菲利克斯·阿克·里迪尔,,Silent Witch 沉默魔女的秘密,,684,未晋级
男子1组,9,61,基洛斯·格拉纳多,,破烂千金被姐姐的原婚约者溺爱着,,584,未晋级
男子2组,1,7,富冈义勇,,鬼灭之刃,樱井孝宏,1558,晋级
男子2组,2,12,水柿司,,可塑性记忆,内匠靖明,1444,未晋级
男子2组,3,26,音无结弦,,Angel Beats!,神谷浩史,1175,未晋级
男子2组,4,28,户冢彩加,,我的青春恋爱物语果然有问题。,小松未可子,1152,未晋级
男子2组,5,32,杰诺斯,,一拳超人,,1029,未晋级
男子2组,6,36,野原广志,,蜡笔小新,,993,未晋级
男子2组,7,44,一条乐,,伪恋,内山昂辉,900,未晋级
男子2组,8,60,米拉,,魔法少女与邪恶曾经敌对。,小野友树,661,未晋级
男子3组,1,5,温水和彦,,败犬女主太多了！,梅田修一朗,1596,晋级
男子3组,2,13,吉尔伽美什,,Fate系列,关智一,1409,未晋级
男子3组,3,14,金木研,,东京食尸鬼,花江夏树,1370,未晋级
男子3组,4,33,福部里志,,冰菓,阪口大助,1026,未晋级
男子3组,5,35,名取周一,,夏目友人帐,石田彰,1009,未晋级
男子3组,6,48,鹰原羽依里,,Summer Pockets,,860,未晋级
男子3组,7,49,内卷昴,,这个美术社大有问题！,小林裕介,842,未晋级
男子3组,8,54,千岁朔,,弹珠汽水瓶里的千岁同学,,762,未晋级
男子4组,1,6,桐谷和人,,刀剑神域,松冈祯丞,1591,晋级
男子4组,2,11,波风水门,,火影忍者,森川智之,1527,未晋级
男子4组,3,22,始皇帝,,终末的女武神,,1257,未晋级
男子4组,4,24,浅村悠太,,义妹生活,天崎滉平,1245,未晋级
男子4组,5,30,安艺伦也,,路人女主的养成方法,松冈祯丞,1075,未晋级
男子4组,6,34,大卫·马丁内斯,,赛博朋克 边缘行者,KENN,1015,未晋级
男子4组,7,52,特斯卡特利波卡,,Fate系列,,798,未晋级
男子4组,8,58,来堂章太,,测不准的阿波连同学,,700,未晋级
男子5组,1,4,灶门炭治郎,,鬼灭之刃,花江夏树,1602,晋级
男子5组,2,9,空条承太郎,,JoJo的奇妙冒险,小野大辅,1550,未晋级
男子5组,3,14,宇智波斑,,火影忍者,内田直哉,1370,未晋级
男子5组,4,15,网代慎平,,夏日重现,花江夏树,1340,未晋级
男子5组,5,24,炼狱杏寿郎,,鬼灭之刃,日野聪,1245,未晋级
男子5组,6,40,夏泽朔,,薰香花朵凛然绽放,,941,未晋级
男子5组,7,47,KING,,一拳超人,,869,未晋级
男子5组,8,50,的场静司,,夏目友人帐,诹访部顺一,828,未晋级
男子6组,1,17,乔瑟夫·乔斯达,,JoJo的奇妙冒险,杉田智和,1316,晋级
男子6组,2,19,基尔伯特·布甘比利亚,,紫罗兰永恒花园,浪川大辅,1313,未晋级
男子6组,3,20,镜音连,,世界计划 缤纷舞台！ feat. 初音未来,,1284,未晋级
男子6组,4,21,冈崎朋也,,CLANNAD,中村悠一,1258,未晋级
男子6组,5,25,电次,,电锯人,户谷菊之介,1219,未晋级
男子6组,6,37,夏油杰,,咒术回战,,984,未晋级
男子6组,7,42,樱满集,,罪恶王冠,梶裕贵,926,未晋级
男子6组,8,45,鲁邦三世,,鲁邦三世,栗田贯一,898,未晋级
男子7组,1,10,渚薰,,新世纪福音战士,石田彰,1537,晋级
男子7组,2,16,太宰治,,文豪野犬,宫野真守,1335,未晋级
男子7组,3,23,大路饼藏,,玉子市场,田丸笃志,1254,未晋级
男子7组,4,27,五条新菜,,更衣人偶坠入爱河,石毛翔弥,1156,未晋级
男子7组,5,31,市川京太郎,,我心里危险的东西,堀江瞬,1038,未晋级
男子7组,6,41,北原伊织,,碧蓝之海,内田雄马,936,未晋级
男子7组,7,43,爱城恋太郎,,超超超超超喜欢你的100个女朋友,加藤涉,921,未晋级
男子7组,8,57,姚麟,,钢之炼金术师,,709,未晋级
男子8组,1,1,夜神月,,死亡笔记,宫野真守,1824,晋级
男子8组,2,3,L Lawliet,,死亡笔记,山口胜平,1658,未晋级
男子8组,3,8,蒙奇·D·路飞,,海贼王,田中真弓,1556,未晋级
男子8组,4,29,辛耶·诺赞,,86 -不存在的战区-,,1091,未晋级
男子8组,5,39,明浦路司,,金牌得主,,972,未晋级
男子8组,6,46,壬氏,,药屋少女的呢喃,樱井孝宏,885,未晋级
男子8组,7,51,安昙小太郎,,月色真美,千叶翔也,810,未晋级
男子8组,8,53,宇佐美翔平,,薰香花朵凛然绽放,,775,未晋级
