组别,组内排名,全局排名,角色,头像,IP,CV,得票数,状态
女子1组,1,3,白,https://pic1.imgdb.cn/item/67396180d29ded1a8c468667.png,NO GAME NO LIFE 游戏人生,茅野爱衣,2393,晋级
女子1组,2,12,星野爱,https://pic1.imgdb.cn/item/6785d9aed0e0a243d4f41230.png,【我推的孩子】,高桥李依,1621,未晋级
女子1组,3,15,拉姆,,Re:从零开始的异世界生活,村川梨衣,1523,未晋级
女子1组,4,16,和栗薰子,,薰香花朵凛然绽放,井上穗乃花,1514,未晋级
女子1组,5,39,梓川枫,https://pic1.imgdb.cn/item/6785d8b2d0e0a243d4f411e0.png,青春猪头少年系列,久保由利香,1170,未晋级
女子1组,6,42,凸守早苗,,中二病也要谈恋爱！,上坂堇,1145,未晋级
女子1组,7,55,赛丽艾,,葬送的芙莉莲,伊濑茉莉也,876,未晋级
女子1组,8,59,白鸟爱罗,,胆大党,佐仓绫音,738,未晋级
女子2组,1,7,樱岛麻衣,https://pic1.imgdb.cn/item/673967ddd29ded1a8c4ad8fb.png,青春猪头少年系列,濑户麻沙美,2130,晋级
女子2组,2,14,高町奈叶,,魔法少女奈叶,田村由香里,1559,未晋级
女子2组,3,19,平泽忧,https://pic1.imgdb.cn/item/69f329eef97149b1cf36fe1b.png,轻音少女,米泽圆,1415,未晋级
女子2组,4,25,牧濑红莉栖,https://pic1.imgdb.cn/item/67395e28d29ded1a8c43f6d9.png,命运石之门,今井麻美,1339,未晋级
女子2组,5,45,宵崎奏,,世界计划 缤纷舞台！ feat. 初音未来,楠木灯,1056,未晋级
女子2组,6,52,烧盐柠檬,,败犬女主太多了！,若山诗音,935,未晋级
女子2组,7,53,尤贝尔,,葬送的芙莉莲,长谷川育美,934,未晋级
女子2组,8,63,斯嘉丽·艾尔·范迪米昂,,最后可以再拜托您一件事吗？,濑户麻沙美,634,未晋级
女子3组,1,5,长崎爽世,https://pic1.imgdb.cn/item/6785d850d0e0a243d4f411cc.png,BanG Dream!,小日向美香,2325,晋级
女子3组,2,9,北白川玉子,https://pic1.imgdb.cn/item/67396817d29ded1a8c4afe96.png,玉子市场,洲崎绫,1718,未晋级
女子3组,3,18,中野二乃,https://pic1.imgdb.cn/item/6744343188c538a9b5bb9e21.png,五等分的新娘,竹达彩奈,1416,未晋级
女子3组,4,22,东海帝王,https://pic1.imgdb.cn/item/67419ca3d29ded1a8ce4ecc8.png,赛马娘 Pretty Derby,Machico,1388,未晋级
女子3组,5,33,柊舞缇娜,,憧憬成为魔法少女,和泉风花,1234,未晋级
女子3组,6,50,山田杏奈,,我心里危险的东西,羊宫妃那,968,未晋级
女子3组,7,51,纯田真奈,,BanG Dream!,反田叶月,940,未晋级
女子3组,8,64,艾莉西亚·格伦费尔,,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,白石晴香,607,未晋级
女子4组,1,1,友利奈绪,https://pic1.imgdb.cn/item/67396124d29ded1a8c46467d.png,Charlotte,佐仓绫音,2799,晋级
女子4组,2,10,阿尼亚·福杰,https://pic1.imgdb.cn/item/677fba37d0e0a243d4f2c800.png,间谍过家家,种崎敦美,1670,未晋级
女子4组,3,28,五河琴里,https://pic1.imgdb.cn/item/673be110d29ded1a8c2750be.png,约会大作战,竹达彩奈,1324,未晋级
女子4组,4,29,中野五月,https://pic1.imgdb.cn/item/677fbcc8d0e0a243d4f2c900.png,五等分的新娘,水濑祈,1313,未晋级
女子4组,5,40,丹生谷森夏,,中二病也要谈恋爱！,赤崎千夏,1169,未晋级
女子4组,6,54,古贺朋绘,,青春猪头少年系列,东山奈央,928,未晋级
女子4组,7,60,七仓凛,,疑似后宫,早见沙织,705,未晋级
女子4组,8,62,广濑夏子,,全修。,永濑安奈,661,未晋级
女子5组,1,11,安和昴,https://pic1.imgdb.cn/item/69f3294af97149b1cf36fc1d.png,少女乐队的呐喊,美怜,1666,晋级
女子5组,2,17,椎名真白,https://pic1.imgdb.cn/item/67396804d29ded1a8c4af1d3.png,樱花庄的宠物女孩,茅野爱衣,1474,未晋级
女子5组,3,21,托尔,https://pic1.imgdb.cn/item/6785dc2ed0e0a243d4f412fc.png,小林家的龙女仆,桑原由气,1405,未晋级
女子5组,4,24,逢坂大河,https://pic1.imgdb.cn/item/6742aa2888c538a9b5bb4148.png,龙与虎,钉宫理惠,1370,未晋级
女子5组,5,35,艾莉莎·米哈伊罗夫纳·九条,,不时轻声地以俄语遮羞的邻座艾莉同学,上坂堇,1224,未晋级
女子5组,6,38,恩奇都,,Fate系列,高桥伸也,1172,未晋级
女子5组,7,43,黑川茜,,【我推的孩子】,石见舞菜香,1121,未晋级
女子5组,8,44,希露菲叶特·格雷拉特,,无职转生,茅野爱衣,1104,未晋级
女子6组,1,2,小鸟游六花,https://pic1.imgdb.cn/item/67357455d29ded1a8c343203.png,中二病也要谈恋爱！,内田真礼,2516,晋级
女子6组,2,31,七宫智音,,中二病也要谈恋爱！,长妻树里,1264,未晋级
女子6组,3,32,河原木桃香,,少女乐队的呐喊,夕莉,1261,未晋级
女子6组,4,36,艾莉丝·伯雷亚斯·格雷拉特,https://pic1.imgdb.cn/item/67413890d29ded1a8c81b570.png,无职转生,加隈亚衣,1217,未晋级
女子6组,5,41,唐可可,,LoveLive!系列,Liyuu,1168,未晋级
女子6组,6,48,玛利亚·米哈伊罗夫纳·九条,,不时轻声地以俄语遮羞的邻座艾莉同学,藤井幸代,1006,未晋级
女子6组,7,49,桃井爱莉,,世界计划 缤纷舞台！ feat. 初音未来,降幡爱,1005,未晋级
女子6组,8,57,绫濑星子,,胆大党,水树奈奈,754,未晋级
女子7组,1,4,四宫辉夜,https://pic1.imgdb.cn/item/6739b53ed29ded1a8c8aae29.png,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,2361,晋级
女子7组,2,13,泉此方,https://pic1.imgdb.cn/item/674138ded29ded1a8c82004e.png,幸运☆星,平野绫,1600,未晋级
女子7组,3,20,阿库娅,https://pic1.imgdb.cn/item/674138f4d29ded1a8c82126e.png,为美好的世界献上祝福！,雨宫天,1409,未晋级
女子7组,4,23,高木,https://pic1.imgdb.cn/item/67411d35d29ded1a8c6a5568.png,擅长捉弄的高木同学,高桥李依,1375,未晋级
女子7组,5,27,凉宫春日,https://pic1.imgdb.cn/item/67418d25d29ded1a8cd84d64.png,凉宫春日的忧郁,平野绫,1329,未晋级
女子7组,6,56,莫妮卡·艾瓦雷特,,Silent Witch 沉默魔女的秘密,会泽纱弥,811,未晋级
女子7组,7,58,蝶野雏,,青之箱,鬼头明里,748,未晋级
女子7组,8,61,紫云寺讴华,,紫云寺家的兄弟姐妹,高桥李依,673,未晋级
女子8组,1,6,山田凉,https://pic1.imgdb.cn/item/67396860d29ded1a8c4b2e6b.png,孤独摇滚！,水野朔,2167,晋级
女子8组,2,8,艾拉,https://pic1.imgdb.cn/item/673961bad29ded1a8c46ac2a.png,可塑性记忆,雨宫天,1859,未晋级
女子8组,3,26,天野阳菜,https://pic1.imgdb.cn/item/677fbca6d0e0a243d4f2c8f5.png,天气之子,森七菜,1337,未晋级
女子8组,4,30,锦木千束,https://pic1.imgdb.cn/item/6742b0d888c538a9b5bb4231.png,莉可丽丝,安济知佳,1281,未晋级
女子8组,5,34,绫濑沙季,,义妹生活,中岛由贵,1232,未晋级
女子8组,6,37,菲特·泰斯塔罗沙·哈洛温,,魔法少女奈叶,水树奈奈,1204,未晋级
女子8组,7,46,夏目玲子,,夏目友人帐,小林沙苗,1048,未晋级
女子8组,8,47,优木雪菜,,LoveLive!系列,林鼓子,1025,未晋级
